symbol,company,date,quote,open,low,high,avg_volume
MSFT,Microsoft Corporation,2023-12-26,373.295135498,373.6338932458,372.1393576728,375.5668283527,12673100
MSFT,Microsoft Corporation,2023-12-27,372.7072753906,372.3286548604,371.4518558234,373.6936591041,14905400
MSFT,Microsoft Corporation,2023-12-28,373.9128417969,374.0025102752,372.7969268576,375.0885357218,14327000
MSFT,Microsoft Corporation,2023-12-29,374.6700744629,374.6302116713,372.1194031138,375.7859893773,18723000
MSFT,Microsoft Corporation,2024-01-02,369.5189208984,372.4980186401,365.43385106,374.5305954623,25258600
MSFT,Microsoft Corporation,2024-01-03,369.2499084473,367.6657044739,367.1675259764,371.9002217029,23083500
MSFT,Microsoft Corporation,2024-01-04,366.5995788574,369.319644279,365.8323949517,371.7407843716,20901500
MSFT,Microsoft Corporation,2024-01-05,366.4102783203,367.6258350486,365.164832099,370.704574459,20987000
MSFT,Microsoft Corporation,2024-01-08,373.325012207,367.9546333036,367.665711662,373.8331640145,23134000
MSFT,Microsoft Corporation,2024-01-09,374.4210205078,370.6547921135,369.8377720434,374.6202736719,20830000
MSFT,Microsoft Corporation,2024-01-10,381.3755493164,374.9988707419,374.9490650556,382.77047341,25514200
MSFT,Microsoft Corporation,2024-01-11,383.2288208008,384.5938251078,378.9943032964,389.2567688504,27850800
MSFT,Microsoft Corporation,2024-01-12,387.0548095703,384.085654729,383.2487184879,387.264036029,21645700
MSFT,Microsoft Corporation,2024-01-16,388.848236084,392.2259009146,386.2078961109,392.5945481402,27202300
MSFT,Microsoft Corporation,2024-01-17,388.0511779785,386.5666157175,383.4081505186,388.6888306734,22234100
MSFT,Microsoft Corporation,2024-01-18,392.4351196289,390.2929581989,388.6987809465,392.5546776017,23392100
MSFT,Microsoft Corporation,2024-01-19,397.2176513672,394.318248901,392.0664723918,397.2176513672,29272000
MSFT,Microsoft Corporation,2024-01-22,395.0655517578,398.5627443989,392.1561757331,399.1605647225,27016900
MSFT,Microsoft Corporation,2024-01-23,397.4468078613,394.3082893402,392.4949122723,397.9250701756,20525900
MSFT,Microsoft Corporation,2024-01-24,401.0934753418,400.0772021383,398.9911766467,404.1522986587,24867000
MSFT,Microsoft Corporation,2024-01-25,403.3950500488,402.8470658664,401.0635783388,405.5272686045,21021200
MSFT,Microsoft Corporation,2024-01-26,402.4584960938,402.8968956285,400.9639605181,404.6903565631,17803300
MSFT,Microsoft Corporation,2024-01-29,408.2273864746,404.5807162486,402.8570077124,408.4864490216,24510200
MSFT,Microsoft Corporation,2024-01-30,407.1015014648,410.75814502,404.9693133041,411.5452451545,33477600
MSFT,Microsoft Corporation,2024-01-31,396.1316223145,405.4774563027,395.7629750712,413.8070170468,47871100
MSFT,Microsoft Corporation,2024-02-01,402.3090515137,400.3661430887,400.3362535933,406.5136795131,30657700
MSFT,Microsoft Corporation,2024-02-02,409.7219238281,402.3389148621,402.0898256139,411.1467070304,28245000
MSFT,Microsoft Corporation,2024-02-05,404.1722106934,408.4067279405,402.5182544257,409.6621474897,25352300
MSFT,Microsoft Corporation,2024-02-06,404.0127868652,404.4013806871,401.4421992053,406.4837631511,18382600
MSFT,Microsoft Corporation,2024-02-07,412.5416259766,405.9557204458,405.9158576499,412.79071524,22340500
MSFT,Microsoft Corporation,2024-02-08,412.6013793945,412.5416004075,411.0271487259,414.0461091956,21225300
MSFT,Microsoft Corporation,2024-02-09,419.0179138184,413.7372340116,413.5778132468,419.2869496618,22032800
MSFT,Microsoft Corporation,2024-02-12,413.7471923828,419.027871999,413.2390406137,419.2072089506,21202900
MSFT,Microsoft Corporation,2024-02-13,404.8397827148,403.4648051926,401.9204640083,408.5761214573,27824900
MSFT,Microsoft Corporation,2024-02-14,408.7527160645,407.33528979,403.8415914326,409.1020919927,20401200
MSFT,Microsoft Corporation,2024-02-15,405.8280029297,407.4051752635,403.5621009383,408.3933830609,21825500
